span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001,"45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service. Either
case introduces novel risks that must be addressed by developers, providers or both. Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user. Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).",developer,null,regulated; high-risk,Patient harm from AI-generated health advice,"Developers must address novel risks when a general-purpose foundation model is used in a health-care related application, product, or service.",null,"when a general-purpose foundation model is used in a health-care related application, product or service",TRUE,attest_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001,"45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service. Either
case introduces novel risks that must be addressed by developers, providers or both. Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user. Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).",provider,null,regulated; high-risk,Patient harm from AI-generated health advice,"Providers must address novel risks when a general-purpose foundation model is used in a health-care related application, product, or service.",null,"when a general-purpose foundation model is used in a health-care related application, product or service",TRUE,attest_check,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001,"46
Ethics and governance of artificial intelligence for health. Guidance on large multi-modal models 
purpose, by blocking queries or attaching a clear warning to any responses that include
health or medical information and to direct users to information or services that can provide
appropriate assistance. If such measures are not taken or if the developer intends that users apply its LMM for
health care, either directly or indirectly through a provider, the developer will have specific
responsibilities that only it can satisfy. Furthermore, both developers and providers have
further obligations to address the risks associated with use of LMMs in health care.",developer,null,inference,unsafe medical guidance,A developer must block queries that include health or medical information.,if a clear warning is attached to the response,if the LMM is not intended for health care use,TRUE,io_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001,"46
Ethics and governance of artificial intelligence for health. Guidance on large multi-modal models 
purpose, by blocking queries or attaching a clear warning to any responses that include
health or medical information and to direct users to information or services that can provide
appropriate assistance. If such measures are not taken or if the developer intends that users apply its LMM for
health care, either directly or indirectly through a provider, the developer will have specific
responsibilities that only it can satisfy. Furthermore, both developers and providers have
further obligations to address the risks associated with use of LMMs in health care.",developer,null,inference,unsafe medical guidance,A developer must attach a clear warning to any responses that include health or medical information.,if queries including health or medical information are blocked,if the LMM is not intended for health care use,TRUE,io_check,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001,"46
Ethics and governance of artificial intelligence for health. Guidance on large multi-modal models 
purpose, by blocking queries or attaching a clear warning to any responses that include
health or medical information and to direct users to information or services that can provide
appropriate assistance. If such measures are not taken or if the developer intends that users apply its LMM for
health care, either directly or indirectly through a provider, the developer will have specific
responsibilities that only it can satisfy. Furthermore, both developers and providers have
further obligations to address the risks associated with use of LMMs in health care.",developer,null,inference,user harm from lack of professional help,A developer must direct users to information or services that can provide appropriate assistance.,null,when a response includes health or medical information,TRUE,io_check,null,3
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002,"The responsibilities, detailed below, are defined in government-mandated laws, policies and
regulations, as it is governments that must ultimately determine whether an AI-based system
should be permitted for use in health care. Developers and providers must also fulfil mutual
responsibilities if an LMM is to be used in health care. Such responsibilities could be defined by
governments or negotiated between the two parties through a contract if laws have not been
written or updated to account for them. Major risks that must be addressed before deployment include system-wide bias, false
information or hallucinations for health-care uses, privacy of data entered into an LMM,
manipulation and automation bias.
5.2 Measures that governments can introduce to address such
risks and ethical principles that should be upheld
The speed of development of LMMs and of applications that include an LMM requires that
governments rapidly develop regulations and specific criteria for using these AI algorithms
in health-care systems and for other scientific and medical purposes.",null,null,null,null,null,null,null,null,null,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002,"The approach should
consist of assessment and approval of AI technologies intended for use in health care or
medicine by a regulatory agency, such as a medical device or pharmaceutical agency,
although governments could establish a new agency for this purpose. One challenge for lowand middle-income countries is that their regulatory agencies are already under-resourced
and overwhelmed by pharmaceutical regulation. The government of at least one high-income country has agreed with the largest technology
companies that its foundation models will be assessed in a voluntary public evaluation, with
disclosure of outcomes to provide information to the public and researchers about the models
and to encourage the companies to correct any errors (146); however, a voluntary approach is
likely to be neither sufficient nor sustainable. Evaluation of LMMs and applications should not address only the AI systems or algorithms
used in the health-care system, as there are also significant risks associated with the use of
LMMs and applications in a grey zone between clinical and ""wellness"" applications.",org,null,eval; public,Lack of public transparency on model performance,The org shall disclose the outcomes of a voluntary public evaluation of its foundation models to provide information to the public and researchers.,null,following a voluntary public evaluation of foundation models,TRUE,attest_check,Disclosure of outcomes,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002,"The approach should
consist of assessment and approval of AI technologies intended for use in health care or
medicine by a regulatory agency, such as a medical device or pharmaceutical agency,
although governments could establish a new agency for this purpose. One challenge for lowand middle-income countries is that their regulatory agencies are already under-resourced
and overwhelmed by pharmaceutical regulation. The government of at least one high-income country has agreed with the largest technology
companies that its foundation models will be assessed in a voluntary public evaluation, with
disclosure of outcomes to provide information to the public and researchers about the models
and to encourage the companies to correct any errors (146); however, a voluntary approach is
likely to be neither sufficient nor sustainable. Evaluation of LMMs and applications should not address only the AI systems or algorithms
used in the health-care system, as there are also significant risks associated with the use of
LMMs and applications in a grey zone between clinical and ""wellness"" applications.",evaluator,null,eval,Unassessed health risks in 'wellness' AI applications,"The evaluator shall ensure that the evaluation of LMMs and applications addresses risks in both clinical and 'wellness' contexts, not only those in the formal health-care system.",null,when evaluating LMMs and applications for health-related use,TRUE,attest_check,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0005,"47
5   Provision with general-purpose foundation models (LMMs)
applications, set common standards and regulations and prohibit applications that do not
meet the standards and regulations from being deployed to the public. Developers and providers should bear the burden of proof, when required, to demonstrate
that an AI technology intended for use in health care meets the minimum requirements set
out in a law or policy. It should not be assumed that, given the known risks and challenges
associated with LMMs, AI algorithms and applications with an LMM are safe and effective or
that they are superior to AI or non-AI based approaches that are already in wide use. Several laws, policies and cross-cutting requirements that could apply to use of LMMs in
health care and medicine are described below.",developer; provider,null,regulated,non-compliant AI in healthcare,"Developers and providers must, when required, demonstrate that an AI technology intended for use in health care meets the minimum requirements set out in a law or policy.",null,when required; for AI technology intended for use in health care,TRUE,attest_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006,"Disclosure (transparency) requirements: Appropriate regulation requires not only that
governments have the capacity and discretion to decide what they can assess and approve
for use but also adequate information for conducting such an evaluation. Disclosure is
necessary to both adequately regulate an AI technology and to ensure that other actors in the
AI value chain can use the technology safely. For example, unless a developer discloses the
performance of a general-purpose foundation model (such as its propensity to hallucinate), a
provider may not have the necessary information to fine-tune the model or to avoid marketing
the technology. Such forms of disclosure by a provider or developer can also assist users, such
as medical providers, in deciding not to use an LMM that could provide incorrect information
or to scrutinize outputs more carefully.",developer,null,public,unsafe model deployment due to lack of performance data,"The developer shall disclose the performance of a general-purpose foundation model, such as its propensity to hallucinate, to enable safe downstream use by providers.",null,for a general-purpose foundation model,TRUE,repo_check; attest_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006,"Disclosure (transparency) requirements: Appropriate regulation requires not only that
governments have the capacity and discretion to decide what they can assess and approve
for use but also adequate information for conducting such an evaluation. Disclosure is
necessary to both adequately regulate an AI technology and to ensure that other actors in the
AI value chain can use the technology safely. For example, unless a developer discloses the
performance of a general-purpose foundation model (such as its propensity to hallucinate), a
provider may not have the necessary information to fine-tune the model or to avoid marketing
the technology. Such forms of disclosure by a provider or developer can also assist users, such
as medical providers, in deciding not to use an LMM that could provide incorrect information
or to scrutinize outputs more carefully.",provider,null,public,patient harm from incorrect medical information,"The provider shall disclose model performance information, such as the potential for incorrect outputs, to assist users in making safe usage decisions.",null,when providing a model to users,TRUE,repo_check; attest_check; io_check,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007,"Disclosure and transparency are WHO guiding principles, as well as measures to improve
the ""explainability"" and intelligibility of an AI-based system, and should be required in the
assessment of a general-purpose foundation model or application. The WHO guidance on
the ethics and governance of AI for health (1) recommended that ""government regulators
should require the transparency of certain aspects of an AI technology, while accounting
for proprietary rights, to improve oversight and assessment of safety and efficacy. This may
include an AI technology's source code, data inputs and analytical approach"". New forms of
disclosure that are relevant for LMMs may include their performance in internal testing and
their carbon and water footprints.",provider,null,public,misinformation about model capabilities,A provider must make disclosures describing the capability and limitations of a foundation model.,null,null,TRUE,io_check; repo_check,model capability and limitation disclosure,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007,"Disclosure and transparency are WHO guiding principles, as well as measures to improve
the ""explainability"" and intelligibility of an AI-based system, and should be required in the
assessment of a general-purpose foundation model or application. The WHO guidance on
the ethics and governance of AI for health (1) recommended that ""government regulators
should require the transparency of certain aspects of an AI technology, while accounting
for proprietary rights, to improve oversight and assessment of safety and efficacy. This may
include an AI technology's source code, data inputs and analytical approach"". New forms of
disclosure that are relevant for LMMs may include their performance in internal testing and
their carbon and water footprints.",provider,null,eval,unverified model performance,A provider must disclose the evaluation of the model according to public or industry standard benchmarks.,null,null,TRUE,repo_check; attest_check,model evaluation report,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007,"Disclosure and transparency are WHO guiding principles, as well as measures to improve
the ""explainability"" and intelligibility of an AI-based system, and should be required in the
assessment of a general-purpose foundation model or application. The WHO guidance on
the ethics and governance of AI for health (1) recommended that ""government regulators
should require the transparency of certain aspects of an AI technology, while accounting
for proprietary rights, to improve oversight and assessment of safety and efficacy. This may
include an AI technology's source code, data inputs and analytical approach"". New forms of
disclosure that are relevant for LMMs may include their performance in internal testing and
their carbon and water footprints.",provider,null,eval,hidden model flaws,A provider must report the results of internal and external testing of the model and its optimization.,null,null,TRUE,repo_check; attest_check,model testing results report,3
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0009,"48
Ethics and governance of artificial intelligence for health. Guidance on large multi-modal models 
personal information may be disclosed either accidentally or through prompts. Potential
disclosures are the reason that many large companies, including technology companies that
are developing and commercializing LMMs, prohibit their own employees from using such
algorithms (149). Disclosures of data violate the developer's responsibility to protect autonomy.",developer,null,prod; inference,unauthorized disclosure of personal information,The developer shall implement measures to prevent the accidental or prompt-induced disclosure of personal information.,null,null,TRUE,io_check; log_check; config_check; data_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0012,"All AI systems or tools used in health care and medicine should have to respect ethical
obligations and human rights standards that affect, for example, a person's dignity, autonomy
or privacy. These include general-purpose foundation models. Human rights and ethical
principles are non-negotiable and must be upheld, irrespective of the risk associated with an
AI technology or the benefit it may confer (153). The fact that an AI algorithm is considered
""low risk"" does not exempt it from scrutiny, and a developer or provider should ensure the
algorithm respects human rights and ethical obligations.",developer; provider,null,regulated,Violation of human rights,"A developer or provider must ensure their AI algorithm respects human rights and ethical obligations, irrespective of the algorithm's risk level.",null,AI system used in health care and medicine,FALSE,null,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0012,"All AI systems or tools used in health care and medicine should have to respect ethical
obligations and human rights standards that affect, for example, a person's dignity, autonomy
or privacy. These include general-purpose foundation models. Human rights and ethical
principles are non-negotiable and must be upheld, irrespective of the risk associated with an
AI technology or the benefit it may confer (153). The fact that an AI algorithm is considered
""low risk"" does not exempt it from scrutiny, and a developer or provider should ensure the
algorithm respects human rights and ethical obligations.",developer; provider,null,regulated,Violation of privacy,"A developer or provider must ensure their AI algorithm respects a person's privacy, irrespective of the algorithm's risk level.",null,AI system used in health care and medicine,FALSE,null,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,"A human rights impact assessment
can be conducted to determine whether an LMM or an application adheres to such
commitments and can therefore be used safely. The WHO guidance on the ethics and governance of AI for health (1) recommended that
""governments should enact laws and policies that require government agencies and
companies to conduct impact assessments of AI technologies, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system"". The
guidance also noted that ""impact assessments should be audited by an independent third
party before and after introduction of an AI technology and published"" (1). The results of
impact assessments should be disclosed publicly, while accounting for proprietary or sensitive
information, and should be available to the public and groups that may be affected.",org,null,regulated,Unassessed AI safety and rights risks,"The org shall conduct impact assessments of AI technologies to address ethics, human rights, safety and data protection throughout the life cycle of an AI system.",null,throughout the life cycle of an AI system,TRUE,attest_check,impact assessment,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,"A human rights impact assessment
can be conducted to determine whether an LMM or an application adheres to such
commitments and can therefore be used safely. The WHO guidance on the ethics and governance of AI for health (1) recommended that
""governments should enact laws and policies that require government agencies and
companies to conduct impact assessments of AI technologies, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system"". The
guidance also noted that ""impact assessments should be audited by an independent third
party before and after introduction of an AI technology and published"" (1). The results of
impact assessments should be disclosed publicly, while accounting for proprietary or sensitive
information, and should be available to the public and groups that may be affected.",org,null,regulated,Lack of independent verification of AI risks,The org shall ensure impact assessments are audited by an independent third party before and after the introduction of an AI technology.,null,before introduction of an AI technology; after introduction of an AI technology,TRUE,attest_check,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,"A human rights impact assessment
can be conducted to determine whether an LMM or an application adheres to such
commitments and can therefore be used safely. The WHO guidance on the ethics and governance of AI for health (1) recommended that
""governments should enact laws and policies that require government agencies and
companies to conduct impact assessments of AI technologies, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system"". The
guidance also noted that ""impact assessments should be audited by an independent third
party before and after introduction of an AI technology and published"" (1). The results of
impact assessments should be disclosed publicly, while accounting for proprietary or sensitive
information, and should be available to the public and groups that may be affected.",org,null,regulated; public,Lack of public transparency on AI impact,The org shall publicly disclose the results of impact assessments and make them available to the public and groups that may be affected.,while accounting for proprietary or sensitive information,null,TRUE,attest_check,impact assessment results,3
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015,"49
5   Provision with general-purpose foundation models (LMMs)
Impact assessments can reveal, for example, whether an AI technology might introduce
system-wide bias, risk the privacy of users who share personal data or lead to manipulation
of a user. Risks to privacy should be addressed by collaboration between providers and
developers in developing LMMs that preserve individual privacy. Work on such an LMM
is under way by one company and a hospital system in the USA, although the project is
considered unlikely to succeed because the data cannot be fully de-identified (154). Impact
assessments can also ensure that use of a general-purpose foundation model or application
maintains humans in the loop to avoid automated decision-making in which a user receives
false information or misinformation or a health-care provider or patient relies uncritically on
the output of an LMM, which would be a form of automation bias.",provider; developer,null,dev,user privacy violation,Providers and developers must collaborate to address privacy risks when developing LMMs that preserve individual privacy.,null,when developing LMMs,TRUE,attest_check; repo_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015,"49
5   Provision with general-purpose foundation models (LMMs)
Impact assessments can reveal, for example, whether an AI technology might introduce
system-wide bias, risk the privacy of users who share personal data or lead to manipulation
of a user. Risks to privacy should be addressed by collaboration between providers and
developers in developing LMMs that preserve individual privacy. Work on such an LMM
is under way by one company and a hospital system in the USA, although the project is
considered unlikely to succeed because the data cannot be fully de-identified (154). Impact
assessments can also ensure that use of a general-purpose foundation model or application
maintains humans in the loop to avoid automated decision-making in which a user receives
false information or misinformation or a health-care provider or patient relies uncritically on
the output of an LMM, which would be a form of automation bias.",deployer,null,prod; inference,automation bias,A deployer must maintain humans in the loop when using a general-purpose foundation model or application to avoid automation bias in decision-making.,null,when using a general-purpose foundation model or application for automated decision-making,TRUE,log_check; config_check; attest_check,Impact assessment,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0018,"This concern
has gained the attention of competition authorities, which have found that first-movers may
use ""unfair methods of competition to entrench their current power or use that power to
gain control over a new generative AI market"" (141). Competition authorities are expected
to exercise greater scrutiny of the use of LMMs, although they focus on the practices used by
companies that develop LMMs (156). Providers should also be subject to AI regulatory assessments, as their use of an LMM may
change its purpose and function from those determined by the developer but is controlled by
the provider. Thus, if a general-purpose foundation model is adapted for use in health care or
medicine by a provider, to which the developer agrees, both the developer and the provider",provider,null,high-risk; regulated,unassessed risk from model repurposing,A provider must be subject to AI regulatory assessments when their use of a large language model (LMM) changes its purpose and function from those determined by the developer.,null,when a provider's use of an LMM changes its purpose and function from those determined by the developer,TRUE,attest_check,AI regulatory assessment,1
